seloger_quartier,code_postal,Nombre de pièces,Époque de construction,LNM - Loyer de référence,LNM - Loyer de référence majoré,LNM - Loyer de référence minoré,LM - Majoration unitaire du loyer de référence,LM - Loyer de référence,LM - Loyer de référence majoré,LM - Loyer de référence minoré
Préfecture,38000,3,1946-1970,11.291235803578893,13.589288204374201,7.894157202385928,0.7990262003976547,12.090262003976546,14.488314404771856,8.493183402783583
Saint Laurent,38000,3,1946-1970,10.415453440740318,12.519165432366696,7.311135974879137,0.703106517391577,11.118559958131893,13.322271949758274,7.8117414491139385
Abbaye,38100,3,1946-1970,10.413963270813586,12.517372891072455,7.310228860776608,0.7030848304807615,11.117048101294348,13.320457721553218,7.810553650554716
Abry,38100,3,1946-1970,10.406715012219097,12.50839376527387,7.305036259164322,0.701678753054774,11.108393765273869,13.310072518328646,7.805036259164322
Allies-Clos d'Or,38100,3,1946-1970,10.402608875624944,12.503188625763821,7.301739250416629,0.7002898750694382,11.102898750694383,13.30347850083326,7.802029125486068
Arlequin,38100,3,1946-1970,10.68640823619717,12.858010295246462,7.514806177147877,0.7716020590492924,11.458010295246462,13.729612354295755,8.014806177147877
Antiquaire - Notre Dame ,38000,3,1971-1990,11.299583586460004,13.599375379690006,7.899791793230002,0.7999999999999999,12.099583586460003,14.499583586460004,8.499583586460005
Berriat-Ampere,38000,3,1971-1990,11.104763320433676,13.307181108032184,7.802345532835169,0.7999638726183311,11.904727193052008,14.304691065670339,8.304799447815345
Centre-ville - Victor Hugo,38000,3,1971-1990,11.295646451472523,13.593469677208782,7.897823225736261,0.8,12.09564645147252,14.495646451472522,8.495646451472522
Championnet-Caserne de Bonne,38000,3,1971-1990,11.298009092033093,13.597013638049638,7.899004546016547,0.8000000000000002,12.098009092033093,14.498009092033094,8.498009092033092
Hoche,38000,3,1971-1990,11.10250324022838,13.303754860342572,7.80125162011419,0.7999999999999999,11.90250324022838,14.302503240228381,8.302503240228383
Ile Verte,38000,3,1971-1990,11.291202700261492,13.587986827737904,7.894418572785079,0.7988172226543329,12.090019922915824,14.488837145570157,8.492385477607158
