cq,rooms,epoque,furnished,ref,refmaj,refmin
BIBLIOTHEQUE - SEINE,1,1946-1970,meuble,29.100043563629175,34.90005643552314,20.40003118773511
SENTIER - ARTS ET METIERS,1,1946-1970,meuble,36.799850068649185,44.19981777856463,25.799892744240033
CHATEAU D'EAU - LANCRY,1,1946-1970,meuble,29.200916395876675,35.00110090838799,20.40064271044965
CROULEBARBE,1,1946-1970,meuble,33.19962116685738,39.79955554080491,23.19974402177909
EPINETTES - BESSIERES,1,1946-1970,meuble,29.20005287198851,35.00007009830477,20.40004336405058
SAINT - PLACIDE,1,1946-1970,meuble,39.39997549722787,47.29997059667344,27.59998284805951
SAINT - THOMAS D'AQUIN,1,1946-1970,meuble,39.3998584093021,47.29983009116252,27.599898054697515
GAMBETTA,1,1946-1970,meuble,28.97956114406103,34.77956114406103,20.31970742937402
SAINT - LAMBERT,1,1946-1970,meuble,30.124185434823232,36.169022641651374,21.061413824717803
BOIS DE BOULOGNE,1,1946-1970,meuble,32.664900132114724,39.22584854464881,22.863319444557916
NATION - PICPUS,1,1946-1970,meuble,30.29997316467556,36.39996779760132,21.199982290586142
PLAINE LAGNY,1,1946-1970,meuble,29.10000219726219,34.90000439311347,20.400001830816674
DIDOT - PORTE DE VANVES,1,1946-1970,meuble,28.30002580021177,34.00003089760627,19.800018690446507
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,1,1946-1970,meuble,28.300130148564257,34.000152860767415,19.800089859928843
CHAILLOT,1,1946-1970,meuble,33.90007250287283,40.70008700344741,23.700051429232445
MARAIS - ARCHIVES,1,1946-1970,meuble,36.82501580154563,44.22501580154563,25.799999999999997
OPERA - CHAUSSEE D'ANTIN,1,1946-1970,meuble,36.81253025090031,44.193618140257804,25.738535640411857
OLYMPIADES - CHOISY,1,1946-1970,meuble,29.029410269506645,34.82058655319497,20.347057702129984
SORBONNE,1,1946-1970,meuble,36.80000004384175,44.199999999182715,25.79999984369337
LA CHAPELLE - MARX DORMOY,1,1946-1970,meuble,29.118984701028978,34.91899220022839,20.40002624719794
ELYSEES - MADELEINE,1,1946-1970,meuble,36.749176283234256,44.11901153988111,25.69442339826398
DANUBE,1,1946-1970,meuble,29.1,34.9,20.4
FLANDRE - AUBERVILLIERS,1,1946-1970,meuble,29.10002510908361,34.900030007871116,20.400017145756294
SAINT - VICTOR,1,1946-1970,meuble,36.774369658459,44.16924331888591,25.78205781149417
ALIGRE - GARE DE LYON,1,1946-1970,meuble,29.200042682241587,35.000054739239616,20.400032717118602
ALLERAY - PROCESSION,1,1946-1970,meuble,30.451187154181333,36.56142477045849,21.296855233156865
AUTEUIL NORD,1,1946-1970,meuble,30.80044185155678,37.00052737121293,21.600299318796527
VAUGIRARD - PARC DES EXPOSITIONS,1,1946-1970,meuble,30.32372167510793,36.41788204735414,21.229561302861725
BEL - AIR SUD,1,1946-1970,meuble,28.856207455398472,34.66744894647817,20.237471636932312
LOUVRE - OPERA,1,1946-1970,meuble,36.70892115451146,44.071517247839395,25.678437898007928
VALLEE DE FECAMP,1,1946-1970,meuble,30.285080582936537,36.38209669952384,21.19005372195769
SALPETRIERE - AUSTERLITZ,1,1946-1970,meuble,29.721271673718373,35.698838672804015,20.843751841831743
NATIONALE - DEUX MOULINS,1,1946-1970,meuble,28.79420331640855,34.5559792756916,20.17065236613371
NATION - ALEXANDRE DUMAS,1,1946-1970,meuble,29.799895074244766,35.79985855606818,20.899910055150652
BELLEVILLE - SAINT-MAUR,1,1946-1970,meuble,29.48908988513421,35.3854538286657,20.640908886098593
