seloger_quartier,code_postal,rooms,epoque,furnished,ref,refmaj,refmin
Amiraux-Simplon-Poissonniers,75018,1,inf1946,non-meuble,29.057129132792852,34.85535828133341,20.326765817109948
Charles-Hermite-Evangile,75018,1,inf1946,non-meuble,27.321835142527714,32.82563255861949,19.115189664367108
Clignancourt-Jules Joffrin,75018,1,inf1946,non-meuble,28.0,33.6,19.6
Goutte d'Or-Château Rouge,75018,1,inf1946,non-meuble,28.98958935221572,34.77520749947202,20.280599873273083
Grandes Carrières-Clichy,75018,1,inf1946,non-meuble,28.00008629890391,33.6001024799484,19.60005933049644
La Chapelle-Marx Dormoy,75018,1,inf1946,non-meuble,27.770364054871983,33.35234353150446,19.427465490634457
Montmartre,75018,1,inf1946,non-meuble,28.01482107127301,33.61768966571295,19.610518179613106
Moskowa-Porte Montmartre-Porte de Clignancourt,75018,1,inf1946,non-meuble,28.0022721003391,33.60269811915268,19.601562068983135
Bas Belleville,75019,1,inf1946,non-meuble,25.972351874431475,31.204100903932005,18.21792496671627
Bassin de la Villette,75019,1,inf1946,non-meuble,27.301343791723607,32.801577635491036,19.10093501509678
Buttes Chaumont,75019,1,inf1946,non-meuble,26.16535943910975,31.438123785575904,18.34391467202405
Danube-Porte des Lilas,75019,1,inf1946,non-meuble,27.298094667080967,32.797713600497154,19.09872977805398
Flandre-Aubervilliers,75019,1,inf1946,non-meuble,27.329550196573095,32.83499357082901,19.120996072402146
Manin-Jaurès,75019,1,inf1946,non-meuble,27.00585600621256,32.447027207455065,18.903904004141708
Place des Fêtes,75019,1,inf1946,non-meuble,27.32160645786554,32.82536410271172,19.115030579384726
Pont de Flandre,75019,1,inf1946,non-meuble,27.3,32.8,19.1
Secrétan,75019,1,inf1946,non-meuble,26.268172254042952,31.56094312181817,18.413074372732382
Amandiers,75020,1,inf1946,non-meuble,25.872404332484347,31.085593918665516,18.149391752423345
Belleville,75020,1,inf1946,non-meuble,29.591518582146538,35.48995620952028,20.69419691844701
Gambetta,75020,1,inf1946,non-meuble,26.802934861790966,32.203497437868464,18.768650348172525
Plaine,75020,1,inf1946,non-meuble,27.300645858383977,32.8003755339978,19.10076348564179
Père Lachaise-Réunion,75020,1,inf1946,non-meuble,26.458523870813945,31.789315601766347,18.539998790583095
Saint Blaise,75020,1,inf1946,non-meuble,27.177334932562612,32.65280191907513,19.01822328837508
