conseil_de_quartier,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
EMERIAU - ZOLA,14.84834002094026,485.1462900532968,38.67958941991067,35.894107528498346,0.596250298866336,9.609080999674301,15.220311638244937,75.93575685021646,0.0,0.6450358802935957,10.643592593379081,3.663466186327079,35.675780865226336,49.37212447477391
PORTE SAINT-DENIS - PARADIS,15.730126362712266,325.0847984482493,60.451930790487864,32.59564620722012,0.3132039480666681,0.027792841807963726,6.612108796345562,64.22191257329622,0.0,0.0,0.0,4.066722984177183,10.840370160021974,85.09290685580086
GEORGES BRASSENS,13.001080027935558,313.23848208995497,26.33932845411776,41.385104458829815,0.5561356683019633,0.04418842147113478,31.674908005382655,74.09163682558663,4.121002720991726,0.0,9.487308825184684,21.798890748034715,35.6495859401496,28.94321176563924
MONTMARTRE,15.14396850831181,186.3485182373703,44.719282260122775,34.48318995740942,0.5144198334835132,0.045648176350072844,20.237642784651566,74.5270482271709,0.0,0.0,6.780835326975976,12.336873682774073,19.13941328601535,61.742877704234616
MONTSOURIS - DAREAU,11.828283451155393,346.4614807990908,23.23649546139926,34.413933994527994,1.2122118707152438,0.6897650929756851,40.444951273527145,76.11367045049778,0.974231805668818,0.004130662026528596,20.23094057249138,34.16889588467126,26.1216868713444,18.500114203797605
DUPLEIX - LA MOTTE PICQUET,15.432808371272932,334.98288838791035,39.26987330184898,37.22873806662138,0.5801688639543836,7.170217812434873,15.750552420844429,73.203934484558,0.0,0.15607353422331557,8.267550381513676,12.537147120910532,26.603507775485276,52.4357211878672
LEON BLUM - FOLIE-REGNAULT,14.495104708013946,290.4966375840037,46.85048093508998,35.121395417970824,0.46664946059196105,0.041409167151505076,17.51968190530537,75.16972645797966,0.0,0.0,3.8612252066601833,8.208449679902984,19.255208047224162,68.67511706621265
BASSIN DE LA VILLETTE,13.027939821052417,260.9992735330983,34.791962824498434,31.061388450412494,0.7888096081947835,10.486603848212997,22.87190243203406,77.33341566723126,0.0,0.0,19.398131102388472,15.483456659517184,17.24784038942814,47.87057184866622
COURCELLES - WAGRAM,17.303191090606983,286.75601746706894,51.875940392037364,39.228709387392634,0.4856510761538318,0.04309531733788269,8.366469135236512,72.26868884792265,0.0,0.0,0.9016333321458013,0.42368978018433345,17.48342014170528,81.1912567459646
ROSA PARKS - MACDONALD,11.683056113507867,963.1887174840839,23.330147986685468,50.245580877844716,0.8105989390886826,2.608333950465742,23.00451926086235,64.35891670073103,0.0537210051269611,0.8347459611344656,10.099355785597458,10.473434392498849,68.81156448538566,9.727178370256624
REUNION - PERE LACHAISE,13.077146014039062,226.59273898506078,27.674575244982965,29.90557405935447,0.2944121245863649,0.04955306351920212,42.0771962248931,78.76479242272997,0.0,0.5931257321057635,41.431096953308845,12.534636512120972,9.065948671005154,36.375192131459265
FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS,13.286504593710173,435.848395394933,47.81805303883923,33.67659941378836,0.4014526685363614,2.167166612005252,15.936250811053874,80.63481156996413,0.0,0.0,4.265712479958962,1.3065406164142839,33.58807194020117,60.839674963425594
SAINT BLAISE,13.934425347917273,361.89655703752527,28.609864152368473,41.91748176838996,0.588071283919721,0.04956032582884046,28.834078752337703,79.85091808798593,6.651102981439653,2.4853009575202707,1.0641549471271305,31.108539960475785,37.450712682303305,21.240188471133855
PEREIRE - MALESHERBES,16.234421148047296,354.94012976560174,38.752858789298536,43.357430573327704,0.4935796867536178,0.11945432833067574,17.277237880803224,75.49453306192815,1.1678584065443764,0.0,2.8029320601710155,12.479409661309315,27.964925261209203,55.58487461076609
REPUBLIQUE - SAINT-AMBROISE,13.753041278111073,338.0132642999113,51.021220888253254,34.02759212119331,0.49659996751837143,0.044066891315623406,14.410457903155734,75.76705066526763,0.0,0.0,5.436204584012411,1.1833986328112736,20.99061451983266,72.38978226334366
PERNETY,14.498772560808751,243.74052299052042,44.46166963591799,38.850595072514416,0.47170498448546244,0.041857780193249226,16.173204473585688,76.86571899796478,0.2640637884916339,0.700227889858271,4.140429240874668,3.7082826846474948,22.131416019613855,69.05558037651406
