seloger_quartier,code_postal,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
Jean Moulin-Porte d'Orléans,75014,0.4754300491409781,0.6110225395781941,14.994543596710571,43.77571560794814,11.035497491577384,45.18878690047446,5.426148248587178,1640.4589969445565,0.17353314554278237,15.832782492856682,9.351626476233605,12.554095975618468,1.8202646950034929,2.4643228083282374,1.2441051901557239,2.305194682612682,2.4810202087099054,1.441368944296188,5.5286926934874545,6.227583835618775,23580.200541021324,641.4218871204707
Montsouris Dareau,75014,0.5248575795296541,0.6157079497373265,12.779018587494196,62.23344959953461,4.056661989621947,33.70988841084345,5.782512984774865,1552.660740353689,0.1779194343159143,11.258873906305977,5.566614940350399,9.112307588005699,1.192134596560948,1.8564337478502533,1.1807365275803017,1.8690824828629142,1.8337366321477198,1.4666447503358975,4.229304871991503,5.169463865346532,23260.35404177849,776.5146978874344
Mouton Duvernet,75014,0.32685313390489423,0.825847549516647,16.105343600959607,38.674097754832694,2.4031779353296563,58.92272430983766,6.401378878310935,1584.4486725623826,0.15458138069815694,22.530390908877646,9.838564325430522,15.640490332656793,1.9075089539900885,2.7567679661663225,1.5486878834148379,2.7985377641192537,2.766588575153863,1.6971828687648656,6.212964803571248,7.262309208037982,15845.90156258869,571.5814473919758
Pernety,75014,0.34429422581640196,0.8655773782796057,17.376338500647662,40.40633432635988,2.6744030979457607,56.919262575694326,6.254866190627009,1584.002902272513,0.16048238640643264,8.321458002592529,9.877679311104178,15.483960883248209,1.952405156932135,2.542094921472955,1.5144821376637254,2.8007809729279733,2.533179241907762,1.7934872800280275,6.008982216068816,7.127447494863763,11323.80880996753,492.5353451263692
Raspail-Montparnasse,75014,0.4776128846466003,0.627078846034216,15.349658863224585,45.416318354978245,16.50589599523787,38.07778564978389,5.54056903740871,1646.964776679628,0.1737803116838957,20.67690016841783,8.6073187858949,11.033375955165228,1.8465106526621673,2.1520128993530157,1.1651170655296672,2.1037164991419326,2.1457257376424734,1.2144424212606408,5.16364061754485,5.463884658045046,61351.97610555295,1021.3273897166164
Alleray Procession,75015,0.34864724924672513,1.1050404953707285,20.069962015732045,44.361922325142345,0.9384731930337634,54.69960448182389,6.099459910696362,1590.3209507533688,0.16508509327695184,15.983696125319057,9.294581437754276,16.02821717913908,1.9238910881698785,2.5306628312067025,1.4219816749870262,2.9031831546694495,2.482597716288497,1.6691339513551933,5.876535594363606,7.0549148223131395,14235.898247435753,520.268310833242
Cambronne-Garibaldi,75015,0.36683895745425266,0.9129423756216182,16.895587530316277,41.93784043423087,3.0886442346481298,54.97351533112098,6.278452955701468,1594.0878165179583,0.1570290775375055,21.571182219790533,9.580245047736298,15.166920144536427,2.0130405995222835,2.505867330660827,1.4381108825363542,2.859873834939119,2.293161342973711,1.7674277915644188,5.957018812719465,6.92046296947725,22577.738602184574,712.3244973351542
Citroën-Boucicaut,75015,0.46890409772656494,0.7893579521028458,16.653601366254126,56.18418288030822,1.8137576029094928,42.00205951678229,5.9126156252071205,1541.4892096804729,0.17633610370374048,13.44169855004655,7.003292249095085,11.82730976000242,1.4126011901521989,1.9358889544032127,1.2881931602690733,2.2889539699084978,1.8796215799611213,1.4774277788989298,4.636683304824485,5.646003328768549,26824.160618328562,864.6509506963044
Dupleix-Motte Picquet,75015,0.3358332079120303,0.8741445099593461,18.440053696345412,41.31137595834128,1.7402141562215436,56.948409885437165,6.185916571040038,1586.6703235667371,0.16229969136347092,12.26918109139216,10.13226352952886,15.363061502311904,2.069222138265274,2.326253006072265,1.227974823001842,2.7534127008695,2.294001092127447,1.2892566227838183,5.62344996733938,6.336670415780766,18490.61151293628,583.6821720209988
Emeriau-Zola,75015,0.3000420627024115,1.285742580878602,20.570419034134105,38.37057213755517,0.9725495998143262,60.6568782626305,6.175226777045421,1579.9015000658214,0.1660525416884583,14.598907155618981,9.82959658299001,16.61985167419862,1.9388123066641036,2.2912044676970127,1.542122091223554,2.798245439299471,2.2609943119262956,1.6579398628706,5.772138865584671,6.717179614096367,20445.29669552017,655.0413602919192
